Orthogroup	AfunestusAfunGA1	LlongipalpisASM
OG0000311	AFUN2_013804, AFUN2_004431, AFUN2_001606, AFUN2_009299	LOC129797680, LOC129791123, LOC129797827, LOC129791363, LOC129795702
OG0000319	AFUN2_000419, AFUN2_014741	LOC129792976, LOC129792973
OG0000324	AFUN2_014723, AFUN2_002760	LOC129791049
OG0000325	AFUN2_013821, AFUN2_009953, AFUN2_000426	LOC129793668
OG0000326	AFUN2_008475, AFUN2_006744	LOC129786690
OG0000327	AFUN2_010823	LOC129788407
OG0000328	AFUN2_012636, AFUN2_005428	LOC129795928
OG0000329	AFUN2_010346, AFUN2_002124	LOC129790306
OG0000330	AFUN2_010609, AFUN2_010577, AFUN2_001583	LOC129790371
OG0000331	AFUN2_010706, AFUN2_002888, AFUN2_011006	LOC129786465
OG0000332	AFUN2_002149, AFUN2_013393, AFUN2_012693	LOC129787519
OG0000333	AFUN2_001023, AFUN2_009434, AFUN2_011252, AFUN2_011040, AFUN2_010709, AFUN2_013423, AFUN2_008471, AFUN2_002539	LOC129792561
OG0000334	AFUN2_013965	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374
OG0000336	AFUN2_005980, AFUN2_003183, AFUN2_002121	LOC129790183, LOC129792929
OG0000344	AFUN2_011925, AFUN2_002211	LOC129796894, LOC129796895, LOC129786968
OG0000345	AFUN2_013986	LOC129786395
OG0000349	AFUN2_012556, AFUN2_006184	LOC129793891
OG0000350	AFUN2_008359	LOC129793586
OG0000351	AFUN2_008901, AFUN2_008714, AFUN2_004633	LOC129794682
OG0000352	AFUN2_006606	LOC129786247
OG0000352	AFUN2_011929	LOC129786294
OG0000353	AFUN2_011227, AFUN2_002095	LOC129794007
OG0000354	AFUN2_005800, AFUN2_002171	LOC129787091
OG0000355	AFUN2_008819, AFUN2_010074, AFUN2_007617	LOC129787439
OG0000356	AFUN2_001849, AFUN2_003379	LOC129786611, LOC129786607, LOC129786612, LOC129786240
OG0000357	AFUN2_011572, AFUN2_008751	LOC129797618
OG0000359	AFUN2_001508, AFUN2_014132, AFUN2_014666, AFUN2_005325	LOC129793872
OG0000360	AFUN2_000510	LOC129793800
OG0000360	AFUN2_007142	LOC129796548
OG0000363	AFUN2_008657, AFUN2_009379	LOC129797000
OG0000364	AFUN2_006948, AFUN2_003336	LOC129791717
OG0000365	AFUN2_013587, AFUN2_014234, AFUN2_001973	LOC129787071
OG0000367	AFUN2_011293, AFUN2_010540, AFUN2_012120, AFUN2_007287	LOC129794337, LOC129792101, LOC129795024
OG0000368	AFUN2_009997	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736
OG0000369	AFUN2_005004, AFUN2_000751	LOC129790261
OG0000370	AFUN2_014764	LOC129786379
OG0000371	AFUN2_003392	LOC129794045
OG0000372	AFUN2_007569, AFUN2_011675	LOC129790937
OG0000381	AFUN2_014467, AFUN2_004958	LOC129792906, LOC129792907, LOC129792591
OG0000382	AFUN2_001543	LOC129786797, LOC129796311
OG0000382	AFUN2_000360	LOC129796310
OG0000383	AFUN2_014461	LOC129785995
OG0000383	AFUN2_011562	LOC129787610, LOC129794998
