Orthogroup	AaegyptiLVP_AGWG	AstephensiUCISS2018
OG0000109	AAEL023958	ASTEI20_041902
OG0000109	AAEL019847, AAEL012395	ASTEI20_036023
OG0000111	AAEL024249, AAEL017232, AAEL027929, AAEL025172	ASTEI20_041472, ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392
OG0000114	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246	ASTEI20_031785, ASTEI20_040627
OG0000114	AAEL002223, AAEL002233, AAEL002187	ASTEI20_032160
OG0000115	AAEL004247	ASTEI20_031924
OG0000115	AAEL022427	ASTEI20_034594
OG0000116	AAEL005045, AAEL017209	ASTEI20_039992
OG0000116	AAEL005043	ASTEI20_046113, ASTEI20_045875, ASTEI20_036918
OG0000116	AAEL004743	ASTEI20_044702
OG0000119	AAEL005200	ASTEI20_031989
OG0000119	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323	ASTEI20_033264, ASTEI20_035228
OG0000120	AAEL019920, AAEL005609, AAEL005607, AAEL019919	ASTEI20_031113
OG0000120	AAEL005594, AAEL005611	ASTEI20_040639, ASTEI20_043620
OG0000127	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828
OG0000128	AAEL000904	ASTEI20_039421
OG0000128	AAEL000918	ASTEI20_041892
OG0000128	AAEL019933	ASTEI20_040479, ASTEI20_031766
OG0000129	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685	ASTEI20_032516, ASTEI20_039120, ASTEI20_038234
OG0000129	AAEL001195	ASTEI20_042029, ASTEI20_041805
OG0000130	AAEL008160	ASTEI20_041330
OG0000130	AAEL002237	ASTEI20_037430, ASTEI20_043872
OG0000131	AAEL024660	ASTEI20_038615
OG0000131	AAEL003272	ASTEI20_045120
OG0000131	AAEL003226	ASTEI20_034975
OG0000131	AAEL003259	ASTEI20_033405
OG0000132	AAEL005293	ASTEI20_035199, ASTEI20_034238
OG0000132	AAEL003840	ASTEI20_031453
OG0000133	AAEL004091	ASTEI20_033689
OG0000133	AAEL014230	ASTEI20_035006, ASTEI20_045111
OG0000134	AAEL019678	ASTEI20_040637
OG0000134	AAEL005113, AAEL023844, AAEL005123	ASTEI20_035158
OG0000134	AAEL019679	ASTEI20_041705, ASTEI20_031508
OG0000136	AAEL013227, AAEL013233, AAEL021425, AAEL006287	ASTEI20_031418
OG0000136	AAEL013692, AAEL008098, AAEL007698	ASTEI20_044015
OG0000141	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367	ASTEI20_038928, ASTEI20_042572
OG0000142	AAEL002426	ASTEI20_030926, ASTEI20_031775
OG0000142	AAEL002432	ASTEI20_039078
OG0000142	AAEL002408	ASTEI20_035078
OG0000143	AAEL007816	ASTEI20_032430
OG0000146	AAEL007592, AAEL015137	ASTEI20_044971, ASTEI20_043034
OG0000147	AAEL006827, AAEL002031, AAEL001960, AAEL002005	ASTEI20_039262, ASTEI20_034963, ASTEI20_034030
OG0000148	AAEL017460	ASTEI20_040041, ASTEI20_032218
OG0000148	AAEL002676	ASTEI20_036802
OG0000149	AAEL003091	ASTEI20_032560
OG0000149	AAEL026670	ASTEI20_037704, ASTEI20_045413
OG0000150	AAEL003497	ASTEI20_036593
OG0000151	AAEL004025	ASTEI20_031955
OG0000152	AAEL011180	ASTEI20_033865
OG0000152	AAEL005259	ASTEI20_040792
OG0000154	AAEL009130, AAEL009129, AAEL009123, AAEL009131	ASTEI20_038954, ASTEI20_038354, ASTEI20_039327, ASTEI20_031393, ASTEI20_036264
OG0000155	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409	ASTEI20_044262
OG0000157	AAEL026898	ASTEI20_038779
OG0000157	AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392	ASTEI20_044052
OG0000160	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119	ASTEI20_036554
OG0000161	AAEL004798, AAEL002467	ASTEI20_038429
OG0000162	AAEL002617	ASTEI20_039506
OG0000162	AAEL002606	ASTEI20_035676
OG0000162	AAEL002587	ASTEI20_038899
OG0000163	AAEL004507	ASTEI20_034625
OG0000163	AAEL022219	ASTEI20_031376
OG0000163	AAEL004486	ASTEI20_042082
OG0000164	AAEL007511	ASTEI20_038451
OG0000164	AAEL014567	ASTEI20_037482
OG0000165	AAEL008017	ASTEI20_035964
OG0000165	AAEL025214	ASTEI20_037537
OG0000165	AAEL008018	ASTEI20_035222, ASTEI20_037574
OG0000166	AAEL013556, AAEL013554	ASTEI20_035217, ASTEI20_037831
OG0000166	AAEL014830	ASTEI20_038043, ASTEI20_041976
OG0000166	AAEL014019	ASTEI20_044786, ASTEI20_042832
OG0000168	AAEL022694, AAEL023789, AAEL026755	ASTEI20_031663
OG0000171	AAEL027547, AAEL017192	ASTEI20_039067
OG0000171	AAEL023653, AAEL005134	ASTEI20_037136
OG0000172	AAEL026737	ASTEI20_034185
OG0000172	AAEL020253	ASTEI20_042714
OG0000172	AAEL011332	ASTEI20_033958
OG0000173	AAEL014515	ASTEI20_042047
OG0000174	AAEL029047	ASTEI20_035066
OG0000174	AAEL029038, AAEL029046, AAEL029041, AAEL029044	ASTEI20_042620
OG0000180	AAEL021730, AAEL002208, AAEL029006, AAEL022045, AAEL002239, AAEL002189, AAEL002245, AAEL002202	ASTEI20_032174
OG0000181	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094	ASTEI20_039654, ASTEI20_035911
OG0000182	AAEL005407	ASTEI20_034555
OG0000182	AAEL005412, AAEL005426, AAEL005417	ASTEI20_041278
OG0000182	AAEL005408	ASTEI20_034958
OG0000183	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498	ASTEI20_031719, ASTEI20_046015, ASTEI20_044856, ASTEI20_038174
OG0000184	AAEL005999	ASTEI20_033069
OG0000184	AAEL006003	ASTEI20_036642, ASTEI20_037581
OG0000185	AAEL013981, AAEL013983, AAEL021888	ASTEI20_042706, ASTEI20_031403
OG0000185	AAEL008045	ASTEI20_032807, ASTEI20_034055
OG0000187	AAEL000035	ASTEI20_038550
OG0000188	AAEL017003, AAEL003253, AAEL003243	ASTEI20_038409
OG0000189	AAEL003743	ASTEI20_035278
OG0000189	AAEL006390	ASTEI20_043379, ASTEI20_036958
OG0000189	AAEL014053	ASTEI20_033773, ASTEI20_043697
OG0000190	AAEL020855	ASTEI20_031858
OG0000190	AAEL023141	ASTEI20_037310
OG0000190	AAEL003982	ASTEI20_033651
OG0000191	AAEL007085, AAEL024044	ASTEI20_035041, ASTEI20_031723, ASTEI20_032678, ASTEI20_037932
OG0000192	AAEL018352	ASTEI20_041022
OG0000192	AAEL008055	ASTEI20_033456
OG0000192	AAEL007664	ASTEI20_038790
OG0000193	AAEL018151, AAEL008595	ASTEI20_035925, ASTEI20_034914, ASTEI20_032918, ASTEI20_041607
OG0000194	AAEL022256, AAEL009193	ASTEI20_032207
OG0000194	AAEL009203	ASTEI20_042386
OG0000196	AAEL014662, AAEL011677, AAEL019722	ASTEI20_042814
OG0000200	AAEL019407	ASTEI20_040182
OG0000200	AAEL000536	ASTEI20_032444
OG0000200	AAEL000123	ASTEI20_035878
OG0000201	AAEL001839	ASTEI20_037723
OG0000201	AAEL020195, AAEL001844	ASTEI20_036827
OG0000201	AAEL001840	ASTEI20_041981
OG0000202	AAEL012457, AAEL012455	ASTEI20_044437
OG0000202	AAEL003617, AAEL026142, AAEL011356	ASTEI20_045852
OG0000203	AAEL003626	ASTEI20_034151
OG0000203	AAEL003641, AAEL003619	ASTEI20_037199
OG0000203	AAEL018304	ASTEI20_036473
OG0000204	AAEL014078	ASTEI20_033339
OG0000204	AAEL014079	ASTEI20_044531
OG0000205	AAEL008898	ASTEI20_031920
OG0000205	AAEL007913	ASTEI20_040473
OG0000206	AAEL009935, AAEL009945, AAEL009938	ASTEI20_039018, ASTEI20_045703
OG0000206	AAEL006668	ASTEI20_045728
