Orthogroup	AsinensisChina	LlongipalpisASM
OG0006183	ASIC011697	LOC129794021
OG0006184	ASIC011694	LOC129794008
OG0006185	ASIC016742	LOC129792541
OG0006186	ASIC011696	LOC129794003
OG0006187	ASIC008237	LOC129785942
OG0006188	ASIC008241	LOC129797015
OG0006189	ASIC008238	LOC129786113
OG0006190	ASIC008236	LOC129793922
OG0006192	ASIC014441	LOC129790303
OG0006193	ASIC018713	LOC129794302
OG0006194	ASIC018714	LOC129790103
OG0006195	ASIC016570	LOC129793260
OG0006196	ASIC015484	LOC129796342
OG0006198	ASIC015479	LOC129796343
OG0006199	ASIC011272	LOC129794590
OG0006200	ASIC014837	LOC129797151
OG0006201	ASIC014873	LOC129797225
OG0006202	ASIC014875	LOC129792556
OG0006203	ASIC014833	LOC129786926
OG0006204	ASIC020510	LOC129792312
OG0006205	ASIC007299	LOC129787255
OG0006206	ASIC003759	LOC129792839
OG0006207	ASIC003752	LOC129792837
OG0006208	ASIC014066	LOC129794789
OG0006209	ASIC008808	LOC129790836
OG0006210	ASIC015501	LOC129797112
OG0006211	ASIC015505	LOC129797125
OG0006212	ASIC015502	LOC129796422
OG0006213	ASIC015499	LOC129795337
OG0006214	ASIC015507	LOC129795850
OG0006215	ASIC015497	LOC129786165
OG0006216	ASIC017808	LOC129789740
OG0006217	ASIC011494	LOC129797454
OG0006218	ASIC011499	LOC129795499
OG0006219	ASIC011493	LOC129797474
OG0006220	ASIC011506	LOC129795035
OG0006221	ASIC011504	LOC129790405
OG0006222	ASIC011502	LOC129795128
OG0006223	ASIC011497	LOC129796835
OG0006224	ASIC011505	LOC129795701
OG0006225	ASIC011498	LOC129796532
OG0006226	ASIC011496	LOC129796788
OG0006227	ASIC011495	LOC129796893
OG0006228	ASIC011482	LOC129794934
OG0006229	ASIC016443	LOC129792971
OG0006230	ASIC005501	LOC129790370
OG0006231	ASIC009343	LOC129796847
OG0006232	ASIC018967	LOC129787509
OG0006233	ASIC012242	LOC129794137
OG0006234	ASIC012241	LOC129791904
OG0006235	ASIC019051	LOC129792013
OG0006236	ASIC019049	LOC129792642
OG0006237	ASIC019048	LOC129791877
OG0006238	ASIC019053	LOC129792688
OG0006239	ASIC019050	LOC129791971
OG0006240	ASIC016807	LOC129794208
OG0006241	ASIC002963	LOC129795799
OG0006242	ASIC008936	LOC129789591
OG0006243	ASIC011278	LOC129796357
OG0006244	ASIC008937	LOC129794757
OG0006245	ASIC005408	LOC129786074
OG0006246	ASIC008939	LOC129794874
OG0006247	ASIC008938	LOC129794761
OG0006248	ASIC005426	LOC129795302
OG0006249	ASIC011836	LOC129786016
OG0006250	ASIC005398	LOC129796480
OG0006251	ASIC011279	LOC129786167
OG0006252	ASIC005383	LOC129789699
OG0006253	ASIC017140	LOC129788025
OG0006254	ASIC013148	LOC129790132
OG0006255	ASIC006239	LOC129789892
OG0006258	ASIC000818	LOC129797681
OG0006259	ASIC000821	LOC129797568
OG0006260	ASIC000820	LOC129797440
OG0006261	ASIC000868	LOC129797627
OG0006262	ASIC000817	LOC129797653
OG0006263	ASIC000819	LOC129797577
OG0006264	ASIC008032	LOC129787847
OG0006265	ASIC018295	LOC129796808
OG0006266	ASIC015439	LOC129786242
OG0006267	ASIC009440	LOC129786175
OG0006268	ASIC009442	LOC129786133
OG0006269	ASIC011556	LOC129786653
OG0006271	ASIC011555	LOC129785885
OG0006272	ASIC011558	LOC129796150
OG0006273	ASIC011559	LOC129794065
OG0006274	ASIC012667	LOC129796613
OG0006275	ASIC013491	LOC129795065
OG0006276	ASIC013473	LOC129797467
OG0006277	ASIC018183	LOC129795406
OG0006278	ASIC007117	LOC129793399
OG0006279	ASIC019353	LOC129795299
OG0006280	ASIC017417	LOC129792430
OG0006281	ASIC019354	LOC129795696
OG0006282	ASIC012432	LOC129794320
OG0006283	ASIC011757	LOC129791678
OG0006284	ASIC011751	LOC129793960
OG0006285	ASIC011758	LOC129791695
OG0006286	ASIC011752	LOC129793959
OG0006287	ASIC004150	LOC129788429
OG0006289	ASIC006482	LOC129788439
OG0006290	ASIC002225	LOC129795466
OG0006291	ASIC010475	LOC129789682
OG0006292	ASIC018071	LOC129792658
OG0006293	ASIC018077	LOC129789429
OG0006294	ASIC018069	LOC129788848
OG0006298	ASIC012324	LOC129793319
OG0006299	ASIC016792	LOC129794050
OG0006300	ASIC020129	LOC129787677
OG0006301	ASIC020130	LOC129787676
OG0006302	ASIC020131	LOC129797694
OG0006303	ASIC010550	LOC129797796
OG0006304	ASIC010551	LOC129797830
OG0006305	ASIC014303	LOC129792683
OG0006306	ASIC014304	LOC129789786
OG0006307	ASIC008911	LOC129791679
OG0006308	ASIC021210	LOC129793098
OG0006309	ASIC014305	LOC129792932
OG0006310	ASIC022216	LOC129791999
OG0006311	ASIC010422	LOC129797661
OG0006312	ASIC006916	LOC129793433
OG0006313	ASIC008414	LOC129797089
OG0006314	ASIC008415	LOC129797075
OG0006315	ASIC008429	LOC129785985
OG0006316	ASIC008423	LOC129785972
OG0006317	ASIC011520	LOC129787805
OG0006318	ASIC008430	LOC129797727
OG0006320	ASIC019792	LOC129793334
OG0006321	ASIC003744	LOC129793697
OG0006322	ASIC014861	LOC129786525
OG0006324	ASIC011795	LOC129794672
OG0006325	ASIC011728	LOC129796995
OG0006326	ASIC019754	LOC129791827
OG0006327	ASIC019732	LOC129791837
OG0006328	ASIC019743	LOC129791816
OG0006329	ASIC018827	LOC129790028
OG0006330	ASIC002782	LOC129786863
OG0006331	ASIC009723	LOC129789478
OG0006332	ASIC007555	LOC129786684
OG0006333	ASIC009690	LOC129788405
OG0006334	ASIC009522	LOC129787753
OG0006335	ASIC009701	LOC129789157
OG0006336	ASIC020437	LOC129787715
OG0006337	ASIC006744	LOC129795373
OG0006338	ASIC006746	LOC129788516
OG0006339	ASIC006447	LOC129788499
OG0006340	ASIC006450	LOC129790249
OG0006341	ASIC012859	LOC129789658
OG0006342	ASIC019236	LOC129789555
OG0006343	ASIC013487	LOC129793828
OG0006344	ASIC003769	LOC129791864
OG0006345	ASIC003767	LOC129793579
OG0006346	ASIC003768	LOC129793581
OG0006347	ASIC014966	LOC129792464
OG0006348	ASIC014901	LOC129794072
OG0006349	ASIC014977	LOC129794661
OG0006350	ASIC014933	LOC129791734
OG0006351	ASIC019615	LOC129793420
OG0006352	ASIC019618	LOC129793036
OG0006353	ASIC019614	LOC129793980
OG0006354	ASIC016640	LOC129791960
OG0006355	ASIC016639	LOC129791925
OG0006356	ASIC004055	LOC129789918, LOC129786784
OG0006357	ASIC004054	LOC129787480
OG0006358	ASIC004053	LOC129787224
OG0006359	ASIC014940	LOC129797103
OG0006360	ASIC003358	LOC129794177
OG0006361	ASIC009257	LOC129791334
OG0006362	ASIC021441	LOC129791515
OG0006363	ASIC021377	LOC129791146
OG0006364	ASIC008160	LOC129787147
OG0006365	ASIC008158	LOC129790372
OG0006366	ASIC005174	LOC129789127
OG0006367	ASIC019348	LOC129788743
OG0006368	ASIC017749	LOC129790504
OG0006369	ASIC017347	LOC129792826
OG0006370	ASIC017349	LOC129793306
OG0006371	ASIC017348	LOC129791809
OG0006372	ASIC017344	LOC129793304
OG0006373	ASIC003018	LOC129791732
OG0006374	ASIC017252	LOC129788466
OG0006375	ASIC020499	LOC129789924
OG0006376	ASIC012224	LOC129791908
OG0006377	ASIC018791	LOC129791750
OG0006378	ASIC012228	LOC129791753
OG0006379	ASIC012225	LOC129791930
OG0006380	ASIC012222	LOC129793578
OG0006381	ASIC012226	LOC129792016
OG0006382	ASIC016889	LOC129787062
OG0006383	ASIC018201	LOC129796583
OG0006384	ASIC020892	LOC129796600
OG0006385	ASIC020891	LOC129788627
OG0006386	ASIC013437	LOC129796093
OG0006387	ASIC017855	LOC129795873
OG0006388	ASIC003007	LOC129792681
OG0006389	ASIC015050	LOC129792107
OG0006390	ASIC001038	LOC129792098
OG0006391	ASIC014122	LOC129788631
OG0006392	ASIC004395	LOC129791349
OG0006393	ASIC014262	LOC129787354
OG0006394	ASIC010344	LOC129788069
OG0006395	ASIC014266	LOC129797863
OG0006396	ASIC014267	LOC129785841
OG0006397	ASIC004397	LOC129788333
OG0006399	ASIC004239	LOC129797585
OG0006400	ASIC018972	LOC129786463
OG0006401	ASIC004257	LOC129786608
OG0006402	ASIC008968	LOC129796941
OG0006403	ASIC012490	LOC129786078
OG0006404	ASIC013979	LOC129789736, LOC129791365
OG0006405	ASIC014058	LOC129797554
OG0006406	ASIC013990	LOC129787407
OG0006407	ASIC009475	LOC129787228
OG0006408	ASIC017165	LOC129790646
OG0006409	ASIC012864	LOC129793160
OG0006410	ASIC013489	LOC129797205
OG0006411	ASIC019224	LOC129793596
OG0006412	ASIC021717	LOC129795345
OG0006414	ASIC004713	LOC129795930
OG0006415	ASIC015184	LOC129793422
OG0006416	ASIC016753	LOC129792231
OG0006417	ASIC015186	LOC129792390
OG0006418	ASIC015182	LOC129791600
OG0006419	ASIC001518	LOC129789346
OG0006420	ASIC009940	LOC129788665
OG0006421	ASIC016228	LOC129789746
OG0006422	ASIC016239	LOC129789600
OG0006423	ASIC016261	LOC129789578
OG0006424	ASIC008591	LOC129790625
OG0006425	ASIC013581	LOC129791031
OG0006426	ASIC014249	LOC129787343
OG0006427	ASIC014223	LOC129790415
OG0006428	ASIC014113	LOC129789437
OG0006429	ASIC018850	LOC129792669
OG0006430	ASIC014700	LOC129797829
OG0006431	ASIC012940	LOC129791564
OG0006432	ASIC012944	LOC129791643
OG0006433	ASIC003815	LOC129787005
OG0006434	ASIC003818	LOC129787009
OG0006435	ASIC003814	LOC129787002
OG0006436	ASIC003819	LOC129787008
OG0006437	ASIC012157	LOC129795998
OG0006438	ASIC012158	LOC129795107
OG0006439	ASIC012156	LOC129793102
OG0006440	ASIC008757	LOC129789337
OG0006441	ASIC008760	LOC129793791
OG0006442	ASIC020455	LOC129793777
OG0006443	ASIC016915	LOC129787250
OG0006444	ASIC011585	LOC129786835
OG0006447	ASIC007643	LOC129791450
OG0006448	ASIC008153	LOC129787122
OG0006449	ASIC008152	LOC129787117
OG0006450	ASIC014472	LOC129795623
OG0006451	ASIC017923	LOC129790230
OG0006452	ASIC014450	LOC129795530
OG0006453	ASIC020210	LOC129787872
OG0006454	ASIC000591	LOC129786657
OG0006455	ASIC004588	LOC129797770
OG0006456	ASIC004589	LOC129787653
OG0006457	ASIC009853	LOC129786222
OG0006458	ASIC012239	LOC129791972
OG0006459	ASIC011072	LOC129792774
OG0006460	ASIC017325	LOC129791186
OG0006461	ASIC017324	LOC129788747
OG0006462	ASIC009249	LOC129790005
OG0006463	ASIC000586	LOC129791013
OG0006464	ASIC015108	LOC129787770
OG0006465	ASIC021921	LOC129785996
OG0006466	ASIC012698	LOC129786504
OG0006467	ASIC011802	LOC129796917
OG0006468	ASIC012697	LOC129796396
OG0006469	ASIC020844	LOC129789677
OG0006470	ASIC003653	LOC129795986
OG0006471	ASIC007484	LOC129792900
OG0006472	ASIC004781	LOC129787772
OG0006473	ASIC004782	LOC129796966
OG0006474	ASIC004776	LOC129787561
OG0006475	ASIC017221	LOC129792935
OG0006476	ASIC018839	LOC129787954
OG0006477	ASIC011042	LOC129793081
OG0006478	ASIC019541	LOC129793083
OG0006479	ASIC019539	LOC129793064, LOC129793221
OG0006480	ASIC002460	LOC129796360
OG0006481	ASIC002461	LOC129796082
OG0006482	ASIC014950	LOC129795935
OG0006483	ASIC022335	LOC129796683
OG0006484	ASIC022337	LOC129794763
OG0006485	ASIC009055	LOC129793693
OG0006486	ASIC017273	LOC129793238
OG0006487	ASIC003440	LOC129796084
OG0006488	ASIC018005	LOC129793512
OG0006489	ASIC014443	LOC129787229
OG0006490	ASIC014444	LOC129788465
OG0006491	ASIC017616	LOC129788519
OG0006492	ASIC007510	LOC129789427
OG0006493	ASIC007511	LOC129789423
OG0006494	ASIC007512	LOC129788745
OG0006495	ASIC007507	LOC129789354
OG0006497	ASIC007513	LOC129788717
OG0006498	ASIC019773	LOC129787293
OG0006499	ASIC014268	LOC129786462
OG0006500	ASIC000798, ASIC000797	LOC129787747
OG0006501	ASIC005603	LOC129787836
OG0006502	ASIC013427	LOC129797100
OG0006503	ASIC007648	LOC129789712
OG0006504	ASIC001585	LOC129795955
OG0006505	ASIC004460	LOC129790325
OG0006506	ASIC010357	LOC129789303
OG0006507	ASIC016939	LOC129789069
OG0006508	ASIC019503	LOC129793424
OG0006509	ASIC019501	LOC129792811
OG0006510	ASIC013043	LOC129796614
OG0006511	ASIC013038	LOC129794973
OG0006512	ASIC013032	LOC129792497
OG0006513	ASIC012332	LOC129790302
OG0006515	ASIC012331	LOC129788827
OG0006516	ASIC017336	LOC129792782
OG0006517	ASIC005887	LOC129788767
OG0006518	ASIC005881	LOC129789391
OG0006519	ASIC020060	LOC129795554
OG0006520	ASIC019537	LOC129791983
OG0006521	ASIC019536	LOC129791899
OG0006522	ASIC015775	LOC129788641
OG0006523	ASIC008586	LOC129785825
OG0006524	ASIC008581	LOC129785833
OG0006525	ASIC008583	LOC129785901
OG0006526	ASIC008584	LOC129785884
OG0006527	ASIC011777	LOC129797201
OG0006529	ASIC011029	LOC129792562
OG0006530	ASIC022338	LOC129796411
OG0006531	ASIC007466	LOC129788520
OG0006533	ASIC019019	LOC129792062
OG0006534	ASIC018585	LOC129797651
OG0006535	ASIC011852	LOC129796389
OG0006536	ASIC016564	LOC129794149
OG0006537	ASIC010356	LOC129794266
OG0006538	ASIC017222	LOC129790349
OG0006539	ASIC012693	LOC129795843
OG0006540	ASIC019957	LOC129792229
OG0006541	ASIC014849	LOC129787205
OG0006542	ASIC006424	LOC129793418
OG0006543	ASIC006433	LOC129793792
OG0006544	ASIC006425	LOC129791138
OG0006545	ASIC006426	LOC129791135
OG0006546	ASIC006437	LOC129795624
OG0006547	ASIC006431	LOC129789818
OG0006548	ASIC006423	LOC129788863
OG0006549	ASIC006440	LOC129796362
OG0006550	ASIC006439	LOC129795631
OG0006551	ASIC006422	LOC129794127
OG0006553	ASIC017621	LOC129797264
OG0006555	ASIC013590	LOC129789325
OG0006556	ASIC014629	LOC129791206
OG0006557	ASIC014630	LOC129789316
OG0006558	ASIC005678	LOC129797625
OG0006559	ASIC021201	LOC129792431
OG0006560	ASIC007119	LOC129792644
OG0006561	ASIC009294	LOC129796419
OG0006563	ASIC021695	LOC129786571
OG0006564	ASIC021694	LOC129786586
OG0006565	ASIC021700	LOC129786566
OG0006566	ASIC004568	LOC129797712
OG0006567	ASIC011137	LOC129786820
OG0006569	ASIC006910	LOC129788711
OG0006570	ASIC017144	LOC129792998
OG0006571	ASIC002866	LOC129791680
OG0006572	ASIC002865	LOC129791686
OG0006573	ASIC002867	LOC129789907
OG0006575	ASIC011275	LOC129788820
OG0006576	ASIC001572	LOC129789358
OG0006577	ASIC020233	LOC129797083
OG0006578	ASIC020240	LOC129790195
OG0006579	ASIC001570	LOC129790212
OG0006580	ASIC005411	LOC129788816
OG0006581	ASIC018091	LOC129791150
OG0006582	ASIC019209	LOC129794197
OG0006583	ASIC019208	LOC129794199
OG0006584	ASIC001891	LOC129787837
OG0006585	ASIC021135	LOC129792172
OG0006586	ASIC005522	LOC129789071
OG0006587	ASIC005526	LOC129788973
OG0006588	ASIC005521	LOC129789074
OG0006589	ASIC018785	LOC129793683
OG0006590	ASIC018783	LOC129793686
OG0006591	ASIC003802	LOC129791790
OG0006592	ASIC003683	LOC129794219
OG0006593	ASIC003800	LOC129794118
OG0006594	ASIC003691	LOC129793533, LOC129794126
OG0006595	ASIC016549	LOC129792198
OG0006596	ASIC016550	LOC129791431
OG0006597	ASIC016551	LOC129791430
OG0006599	ASIC014880	LOC129785862
OG0006600	ASIC014881	LOC129797823
OG0006601	ASIC003971	LOC129790375
OG0006602	ASIC016255	LOC129792156
OG0006603	ASIC016249	LOC129789114
OG0006604	ASIC016252	LOC129792785
OG0006605	ASIC016481	LOC129788489
OG0006606	ASIC016254	LOC129791596
OG0006607	ASIC017333	LOC129790458
OG0006608	ASIC006581	LOC129789062
OG0006609	ASIC014600	LOC129793520
OG0006610	ASIC011155, ASIC011156	LOC129786232
OG0006611	ASIC012436	LOC129792357
OG0006612	ASIC018686	LOC129791758
OG0006613	ASIC002458	LOC129796494
OG0006614	ASIC018838	LOC129796486
OG0006615	ASIC019101	LOC129792697
OG0006616	ASIC008018	LOC129787855
OG0006617	ASIC008027	LOC129787530
OG0006618	ASIC008025	LOC129787901
OG0006619	ASIC008016, ASIC021437	LOC129794513
OG0006620	ASIC003444	LOC129792211
OG0006621	ASIC003445	LOC129786028
OG0006622	ASIC006893	LOC129788632
OG0006623	ASIC007434	LOC129797487
OG0006624	ASIC006891	LOC129796153
OG0006625	ASIC006897	LOC129795088
OG0006626	ASIC007128	LOC129787930
OG0006628	ASIC016899	LOC129789960
OG0006629	ASIC011066	LOC129792831
OG0006630	ASIC020776	LOC129788798
OG0006631	ASIC009337	LOC129790210
OG0006632	ASIC020181	LOC129793744
OG0006633	ASIC022343	LOC129796148
OG0006634	ASIC013955	LOC129787040
OG0006635	ASIC013952	LOC129787037
OG0006636	ASIC008899	LOC129791021
OG0006637	ASIC012579	LOC129786288
OG0006638	ASIC013811	LOC129797238
OG0006639	ASIC013814	LOC129785968
OG0006640	ASIC019520	LOC129793156
OG0006641	ASIC020750	LOC129792202
OG0006642	ASIC019574	LOC129793323
OG0006643	ASIC016705	LOC129792673
OG0006644	ASIC016704	LOC129793768
OG0006645	ASIC018320	LOC129793320
OG0006646	ASIC012447	LOC129792247
OG0006647	ASIC012188	LOC129789713
OG0006649	ASIC003946	LOC129795707
OG0006650	ASIC003945	LOC129795620
OG0006651	ASIC016944	LOC129791081
OG0006652	ASIC016005	LOC129797077
OG0006653	ASIC016897	LOC129793764
OG0006654	ASIC016600	LOC129796990
OG0006655	ASIC021458	LOC129788142
OG0006656	ASIC020717	LOC129789131
OG0006657	ASIC000581	LOC129789728
OG0006658	ASIC003943	LOC129789857
OG0006659	ASIC009470	LOC129790893
OG0006660	ASIC015677	LOC129787510
OG0006661	ASIC009449	LOC129789281
OG0006663	ASIC012865	LOC129794563
OG0006664	ASIC012866	LOC129794215
OG0006665	ASIC017068	LOC129787269
OG0006666	ASIC016708	LOC129795109
OG0006667	ASIC020394	LOC129787092
OG0006669	ASIC016544	LOC129789637
OG0006670	ASIC018836	LOC129791604
OG0006671	ASIC018830	LOC129786436
OG0006672	ASIC018835	LOC129791615
OG0006673	ASIC018068	LOC129794582
OG0006674	ASIC018067	LOC129793652
OG0006675	ASIC018018	LOC129791236
OG0006676	ASIC020778	LOC129788758
OG0006677	ASIC019864	LOC129794085
OG0006678	ASIC017192	LOC129797019
OG0006679	ASIC017249	LOC129792848
OG0006680	ASIC022257	LOC129785926
OG0006681	ASIC008765	LOC129793184
OG0006682	ASIC003689	LOC129791952
OG0006683	ASIC003688	LOC129794257
OG0006684	ASIC003685	LOC129788167
OG0006685	ASIC014494	LOC129795640
OG0006686	ASIC014497	LOC129796045
OG0006687	ASIC021179	LOC129795877
OG0006688	ASIC008536	LOC129789594
OG0006689	ASIC001353	LOC129789784
OG0006690	ASIC019277	LOC129788909
OG0006691	ASIC021375	LOC129795252
OG0006693	ASIC007478	LOC129792856
OG0006694	ASIC010886	LOC129787859
OG0006695	ASIC019398	LOC129788751
OG0006696	ASIC018305	LOC129789741
OG0006697	ASIC020171	LOC129787548
OG0006698	ASIC013260	LOC129797199
OG0006699	ASIC011522	LOC129787359
OG0006700	ASIC022111	LOC129790950
OG0006701	ASIC006453	LOC129788349
OG0006702	ASIC006448	LOC129788503
OG0006703	ASIC006454	LOC129788578
OG0006704	ASIC022109	LOC129790851
OG0006705	ASIC006446	LOC129790047
OG0006706	ASIC012189	LOC129797119
OG0006707	ASIC019810	LOC129790137
OG0006708	ASIC018784	LOC129793680
OG0006709	ASIC000599	LOC129786671
OG0006710	ASIC009028	LOC129787348
OG0006711	ASIC013995	LOC129797641
OG0006712	ASIC015527	LOC129795129
OG0006713	ASIC015525	LOC129786604
OG0006714	ASIC022209	LOC129792015
OG0006715	ASIC022211	LOC129786004
OG0006716	ASIC022215	LOC129795570
OG0006717	ASIC017448	LOC129793820
OG0006718	ASIC017446	LOC129793232
OG0006719	ASIC006928	LOC129793466
OG0006720	ASIC005737	LOC129789079
OG0006721	ASIC016913	LOC129787453
OG0006722	ASIC016912	LOC129787454
OG0006723	ASIC022204	LOC129795019
OG0006724	ASIC022202	LOC129795091
OG0006726	ASIC019435	LOC129795151
OG0006727	ASIC020685	LOC129786455
OG0006729	ASIC003449	LOC129797113
OG0006730	ASIC006428	LOC129790061
OG0006731	ASIC008474	LOC129797540
OG0006732	ASIC008475	LOC129795296
OG0006733	ASIC016702	LOC129790997
OG0006734	ASIC003518	LOC129796992
OG0006735	ASIC004348	LOC129790993
OG0006737	ASIC014381	LOC129795674
OG0006738	ASIC014376	LOC129788050
OG0006739	ASIC014379	LOC129795710
OG0006740	ASIC017916	LOC129789754
OG0006741	ASIC018805	LOC129797838
OG0006742	ASIC021440	LOC129792317
OG0006743	ASIC014939	LOC129792445
OG0006744	ASIC012951	LOC129792267
OG0006745	ASIC021264	LOC129792266
OG0006746	ASIC012949	LOC129793435
OG0006747	ASIC018773	LOC129792421
OG0006748	ASIC005164	LOC129791235
OG0006749	ASIC016168	LOC129792419
OG0006750	ASIC008594	LOC129790622
OG0006751	ASIC012612	LOC129791075
OG0006752	ASIC007096	LOC129788508
OG0006753	ASIC004579	LOC129797555
OG0006754	ASIC004576	LOC129797685
OG0006755	ASIC021510	LOC129797273
OG0006756	ASIC021507	LOC129797347
OG0006757	ASIC020842	LOC129795795
OG0006758	ASIC017427	LOC129793326
OG0006759	ASIC009757	LOC129797523
OG0006760	ASIC010346	LOC129797835
OG0006761	ASIC012138	LOC129795755, LOC129793673
OG0006762	ASIC008924	LOC129794950
OG0006763	ASIC004080	LOC129792764
OG0006764	ASIC006125	LOC129786274
OG0006765	ASIC002643	LOC129792020
OG0006766	ASIC017274	LOC129789250
OG0006767	ASIC007438	LOC129794332
OG0006768	ASIC002998	LOC129790407
OG0006769	ASIC009133	LOC129791670
OG0006770	ASIC008803	LOC129797091
OG0006771	ASIC003088	LOC129794230
OG0006772	ASIC008045	LOC129787173
OG0006773	ASIC001358	LOC129787478
OG0006774	ASIC001355	LOC129786443
OG0006775	ASIC001360	LOC129787966
OG0006776	ASIC001359	LOC129787996
OG0006778	ASIC009072	LOC129790624
OG0006779	ASIC019863	LOC129792970
OG0006780	ASIC019859	LOC129792942
OG0006781	ASIC012853	LOC129786730
OG0006782	ASIC013468	LOC129788147
OG0006783	ASIC008019	LOC129787942
OG0006784	ASIC017626	LOC129793725
OG0006785	ASIC006451	LOC129790179
OG0006786	ASIC006160	LOC129787198
OG0006787	ASIC019033	LOC129792734
OG0006788	ASIC019022	LOC129793939
OG0006789	ASIC019055	LOC129794304
OG0006790	ASIC019067	LOC129794205
OG0006791	ASIC013498	LOC129791295
OG0006792	ASIC002573	LOC129791711
OG0006793	ASIC007437	LOC129792577
OG0006794	ASIC009891	LOC129793951
OG0006795	ASIC015185	LOC129787102
OG0006796	ASIC007607	LOC129787484
OG0006797	ASIC009963	LOC129791161
OG0006798	ASIC009974	LOC129791156
OG0006799	ASIC018245	LOC129789134
OG0006800	ASIC013599	LOC129790586
OG0006801	ASIC006250	LOC129788890
OG0006803	ASIC016632	LOC129792715
OG0006804	ASIC017668	LOC129791188
OG0006805	ASIC021145	LOC129791848
OG0006806	ASIC006896	LOC129788642
OG0006808	ASIC014285	LOC129787277
OG0006809	ASIC002439	LOC129793303
OG0006810	ASIC002438	LOC129793305
OG0006811	ASIC009845	LOC129786490
OG0006812	ASIC017250	LOC129791003
OG0006813	ASIC018841	LOC129792770
OG0006814	ASIC018847	LOC129791996
OG0006815	ASIC011805	LOC129793653
OG0006816	ASIC012125	LOC129794334
OG0006817	ASIC012124	LOC129794243
OG0006818	ASIC019047	LOC129792634
OG0006819	ASIC015486	LOC129791325
OG0006820	ASIC004408	LOC129786681
OG0006821	ASIC009057	LOC129790000
OG0006822	ASIC016490	LOC129794203
OG0006823	ASIC016488	LOC129794204
OG0006824	ASIC019659	LOC129787897
OG0006825	ASIC007442	LOC129789347
OG0006826	ASIC018802	LOC129792780
OG0006827	ASIC018799	LOC129792587
OG0006828	ASIC011626	LOC129792933
OG0006829	ASIC013428	LOC129797114
OG0006830	ASIC016576	LOC129793141
OG0006831	ASIC009896	LOC129793358
OG0006832	ASIC006294	LOC129789463
OG0006833	ASIC016685	LOC129788440
OG0006834	ASIC016682	LOC129791993
OG0006835	ASIC016683	LOC129797111
OG0006836	ASIC021614	LOC129793471
OG0006837	ASIC016478	LOC129789621
OG0006839	ASIC014910	LOC129792277
OG0006840	ASIC017136	LOC129789301
OG0006841	ASIC016718	LOC129793060
OG0006842	ASIC008195	LOC129787924
OG0006843	ASIC009555	LOC129797792
OG0006845	ASIC019596	LOC129792951
OG0006846	ASIC013547	LOC129786107
OG0006847	ASIC019143	LOC129792868
OG0006848	ASIC007712	LOC129796620
OG0006849	ASIC015710	LOC129797741
OG0006850	ASIC009892	LOC129791931
OG0006851	ASIC009893	LOC129791943
OG0006852	ASIC017217	LOC129789614
OG0006853	ASIC019818	LOC129795026, LOC129795023, LOC129796520, LOC129795005, LOC129795009, LOC129795003
OG0006854	ASIC007098	LOC129790001
OG0006856	ASIC016999	LOC129789856
OG0006857	ASIC016077	LOC129792633
OG0006858	ASIC007056	LOC129796791
OG0006859	ASIC007547	LOC129788990
OG0006860	ASIC017421	LOC129795059
OG0006861	ASIC006049	LOC129788464
OG0006862	ASIC005219	LOC129790867
OG0006863	ASIC015142	LOC129793116
OG0006864	ASIC013316, ASIC013318	LOC129793756
OG0006865	ASIC019399	LOC129787598
OG0006867	ASIC019738	LOC129792125
OG0006868	ASIC003934	LOC129790592
OG0006869	ASIC015474	LOC129797689
OG0006870	ASIC006873	LOC129789725
OG0006871	ASIC004741	LOC129796862
OG0006872	ASIC018958	LOC129786431
OG0006873	ASIC009801	LOC129795602
OG0006874	ASIC020539	LOC129796474
OG0006875	ASIC009585	LOC129794081
OG0006876	ASIC019313	LOC129797221
OG0006877	ASIC003917	LOC129785851
OG0006878	ASIC007170	LOC129788498
OG0006879	ASIC006825	LOC129785883
OG0006880	ASIC019846	LOC129793210
OG0006881	ASIC020113	LOC129795717
OG0006883	ASIC018435	LOC129793038
OG0006884	ASIC011636	LOC129791863
OG0006885	ASIC010230	LOC129791239
OG0006886	ASIC011643	LOC129794002
OG0006887	ASIC010576	LOC129797668
OG0006888	ASIC020349	LOC129790029
OG0006889	ASIC007158	LOC129790804
OG0006890	ASIC016119	LOC129793180
OG0006891	ASIC015209	LOC129795114
OG0006892	ASIC003693	LOC129793998
OG0006893	ASIC014627	LOC129789343
OG0006894	ASIC006862	LOC129789603
OG0006896	ASIC008269	LOC129795014
OG0006897	ASIC015462	LOC129796792
OG0006898	ASIC003287	LOC129786446
OG0006899	ASIC002137	LOC129796380
OG0006900	ASIC017405	LOC129792368
OG0006901	ASIC005568	LOC129794987
OG0006902	ASIC013930	LOC129788555
OG0006903	ASIC016932	LOC129788991
OG0006904	ASIC011483	LOC129794931
OG0006905	ASIC015558	LOC129796057
OG0006906	ASIC006389	LOC129793370
OG0006907	ASIC007344	LOC129789634
OG0006908	ASIC021651	LOC129787105
OG0006909	ASIC018231	LOC129795067
OG0006910	ASIC004073	LOC129786259
OG0006911	ASIC008054	LOC129790238
OG0006912	ASIC007248	LOC129791070
OG0006913	ASIC015524	LOC129796878
OG0006914	ASIC007844	LOC129793374
OG0006915	ASIC003519	LOC129789663
OG0006916	ASIC012906	LOC129792748
OG0006917	ASIC016765	LOC129792799
